id,title,phase,description,acceptance_criteria,dependency_stories,status,complexity_points
P1-011,Update controllers to dispatch commands,Phase 1,"Refactor InvoiceController, PayController, and WebhookController to construct Command objects from incoming requests and dispatch them to the corresponding command handlers instead of calling use cases directly.","1. InvoiceController POST /api/invoices creates CreateInvoiceCommand and calls CreateInvoiceCommandHandler. 2. PayController POST /pay/{id}/checkout creates StartCheckoutCommand and calls StartCheckoutCommandHandler. 3. WebhookController POST /webhooks/{provider} creates ProcessWebhookCommand and calls ProcessWebhookCommandHandler. 4. GET endpoints remain unchanged (query path). 5. All API contracts unchanged (same request/response DTOs). 6. All existing API tests pass without modification.","P1-008;P1-009;P1-010",todo,5
P1-012,Add TransactionalEventListener side-effect handlers,Phase 1,"Create InvoiceEventHandler, PaymentEventHandler, and WebhookEventHandler in com.payme.application.eventhandler. These use @TransactionalEventListener(phase = AFTER_COMMIT) to react to domain events for logging and future extensibility.","1. InvoiceEventHandler listens to InvoiceCreated, InvoiceExpired, InvoicePaymentSucceeded, InvoicePaymentFailed. 2. PaymentEventHandler listens to PaymentAttemptCreated, PaymentAttemptSucceeded, PaymentAttemptFailed. 3. WebhookEventHandler listens to WebhookReceived, WebhookProcessed, WebhookFailed, WebhookDuplicated. 4. All handlers log event details at INFO level. 5. Handlers fire AFTER_COMMIT only (not during transaction). 6. Integration test confirms listeners are invoked after a command completes.","P1-002;P1-003;P1-004;P1-006",todo,3
P1-013,Phase 1 regression testing and cleanup,Phase 1,"Run all existing tests, fix any regressions from the refactoring. Remove deprecated use case classes if fully replaced. Verify end-to-end payment flow works identically to before.","1. All existing unit tests pass. 2. All existing integration tests pass. 3. Manual end-to-end test: create invoice, start checkout, process webhook — all succeed. 4. Deprecated use case classes removed or marked @Deprecated. 5. No behavioral changes from user perspective.","P1-008;P1-009;P1-010;P1-011;P1-012",todo,5
P2-001,Add Redis to infrastructure and dependencies,Phase 2,"Add Redis 7 Alpine container to docker-compose.yml with AOF persistence. Add spring-boot-starter-data-redis dependency to pom.xml. Configure Redis connection properties in application.yml.","1. Redis service added to infra/docker-compose.yml with image redis:7-alpine, port 6379, appendonly persistence, and named volume. 2. spring-boot-starter-data-redis added to pom.xml. 3. spring.redis.host and spring.redis.port configured in application.yml with env var defaults. 4. Application starts successfully with Redis running. 5. RedisTemplate bean is available in Spring context.",P1-013,todo,3
P2-002,Implement OutboxPoller scheduled task,Phase 2,"Create OutboxPoller component that polls the domain_events table every 500ms for unpublished events, publishes them to Redis Streams via XADD, and marks them as published within a transaction.","1. OutboxPoller is annotated with @Component and uses @Scheduled(fixedDelay = 500). 2. Queries domain_events WHERE published = FALSE ORDER BY occurred_at LIMIT 100. 3. For each event, calls RedisStreamPublisher to XADD to the correct stream based on aggregate type. 4. Marks event as published = TRUE after successful XADD. 5. Handles Redis connection failures gracefully (logs error, retries on next poll). 6. Integration test: save event to DB, verify it appears in Redis stream within 1 second.","P2-001;P1-007",todo,5
P2-003,Implement RedisStreamPublisher adapter,Phase 2,"Create RedisStreamPublisher in com.payme.adapters.messaging that wraps StringRedisTemplate.opsForStream().add() to publish events to named Redis streams. Maps event types to stream keys based on configuration.","1. RedisStreamPublisher component exists with publish(streamKey, eventFields) method. 2. Uses StringRedisTemplate to XADD map-backed records. 3. Event payload serialized as JSON string in the 'payload' field. 4. Event metadata (eventId, eventType, aggregateId, occurredAt) included as top-level stream fields. 5. Stream key routing: invoice events to payme:events:invoice, payment events to payme:events:payment, webhook events to payme:events:webhook. 6. Unit test with embedded Redis verifies XADD.",P2-001,todo,3
P2-004,Configure Redis consumer groups and listener containers,Phase 2,"Create RedisStreamConfig configuration class that sets up StreamMessageListenerContainer instances and consumer groups for each stream. Create consumer group on startup if it does not exist.","1. RedisStreamConfig @Configuration class exists. 2. Consumer group 'payme-service' created for all three streams on startup. 3. StreamMessageListenerContainer configured with 2-second poll timeout. 4. Handles RedisSystemException when group already exists (idempotent startup). 5. Application starts and connects to streams without errors. 6. Integration test: publish to stream, verify consumer receives message.",P2-001,todo,5
P2-005,Implement PaymentStatusConsumer stream consumer,Phase 2,"Create a Redis stream consumer that listens to the payment events stream and processes PaymentAttemptSucceeded/Failed events. Acknowledges messages after successful processing.","1. PaymentStatusConsumer implements StreamListener. 2. Registered with the payme:events:payment consumer group. 3. Deserializes event payload from JSON. 4. Routes events by eventType to appropriate handler methods. 5. Acknowledges message after successful processing (XACK). 6. Logs processing errors without acknowledging (message remains pending for retry). 7. Integration test: publish event to stream, verify consumer processes and acknowledges.",P2-004,todo,5
P2-006,Add stream lag monitoring endpoint,Phase 2,"Create an actuator or custom endpoint that reports consumer group lag for each stream (difference between stream length and last-delivered-id). Expose as a health indicator or metrics endpoint.","1. Endpoint accessible at GET /actuator/streams or GET /api/admin/stream-lag. 2. Returns lag count per stream per consumer group. 3. Uses XINFO GROUPS and XLEN Redis commands. 4. Response includes: stream name, consumer group, pending count, lag. 5. Secured (not publicly accessible). 6. Manual test: verify lag increases when consumer is stopped.","P2-004;P2-005",todo,3
P2-007,Phase 2 integration testing,Phase 2,"End-to-end integration test verifying the full flow: command handler saves event to outbox, outbox poller publishes to Redis stream, consumer picks up and processes the event. Verify with both PayFast and Fake providers.","1. Test creates invoice via command, verifies InvoiceCreated event appears in Redis stream within 2 seconds. 2. Test processes webhook via command, verifies WebhookProcessed event flows through stream to consumer. 3. Full payment lifecycle test: create invoice -> checkout -> webhook -> verify all events in correct streams. 4. No events lost (outbox count matches stream count). 5. Consumer lag returns to 0 after processing.","P2-002;P2-003;P2-004;P2-005",todo,5
P3-001,Thin out WebhookController for async processing,Phase 3,"Refactor WebhookController to only save the raw webhook payload to the database and publish a WebhookReceived event to the webhook stream. Return 200 OK immediately without processing the webhook synchronously.","1. POST /webhooks/{provider} saves raw payload to webhook_events table with status RECEIVED. 2. Publishes WebhookReceived event to outbox (domain_events table). 3. Returns 200 OK with {status: success} within 100ms. 4. No signature verification or payment status update in the controller path. 5. PayFast ITN never times out. 6. Backward compatible: webhooks still get processed (by consumer in P3-002).","P2-007;P1-010",todo,5
P3-002,Implement WebhookProcessingConsumer,Phase 3,"Create a Redis stream consumer that listens to the webhook events stream and performs the full webhook processing: signature verification, duplicate detection, payment attempt update, invoice status update, and event publishing.","1. WebhookProcessingConsumer listens to payme:events:webhook stream. 2. On WebhookReceived: verifies provider signature, parses into CanonicalPaymentEvent, checks for duplicates. 3. Updates PaymentAttempt status and Invoice status. 4. Publishes WebhookProcessed on success. 5. On verification failure: publishes WebhookFailed, does NOT acknowledge (leaves for retry). 6. On duplicate: publishes WebhookDuplicated, acknowledges. 7. Integration test: post webhook, verify async processing completes within 5 seconds.","P3-001;P2-004",todo,8
P3-003,Implement retry logic with XCLAIM,Phase 3,"Create WebhookRetryScheduler that runs every 30 seconds, finds messages pending for more than 60 seconds in the webhook stream consumer group, and reclaims them for reprocessing using XCLAIM.","1. WebhookRetryScheduler runs @Scheduled(fixedDelay = 30000). 2. Uses XPENDING to find messages idle for > 60 seconds. 3. Uses XCLAIM to reassign stale messages to an active consumer. 4. Tracks retry count per message (stored in a retry counter or message metadata). 5. Configurable max retries via application.yml (default: 5). 6. Logs each retry attempt with message ID and attempt count.","P3-002",todo,5
P3-004,Implement dead letter stream,Phase 3,"After max retries are exhausted for a webhook message, move it to the dead letter stream payme:events:webhook:dead and acknowledge it from the main stream. Create an admin endpoint to view and replay dead letters.","1. Messages exceeding max retry count are XADD'd to payme:events:webhook:dead. 2. Original message is XACK'd from payme:events:webhook. 3. Dead letter includes original payload plus error history and retry count. 4. GET /api/admin/dead-letters returns list of dead-lettered webhooks. 5. POST /api/admin/dead-letters/{messageId}/replay moves message back to main stream for reprocessing. 6. Admin endpoints secured. 7. Integration test: simulate persistent failure, verify message lands in dead letter after max retries.",P3-003,todo,5
P3-005,Phase 3 end-to-end testing,Phase 3,"Comprehensive testing of the async webhook pipeline: happy path, retry on transient failure, dead letter on permanent failure, duplicate detection, and concurrent webhook processing.","1. Happy path: webhook received -> processed async -> invoice status updated within 5 seconds. 2. Transient failure: consumer fails once, retries, succeeds on second attempt. 3. Permanent failure: consumer fails 5 times, message moves to dead letter. 4. Duplicate: same webhook sent twice, second is marked as DUPLICATE. 5. Concurrent: two webhooks for different invoices processed in parallel. 6. PayFast provider tested with signature verification in async path.","P3-001;P3-002;P3-003;P3-004",todo,5
P4-001,Create ExpireInvoiceCommand and handler,Phase 4,"Implement ExpireInvoiceCommand record and ExpireInvoiceCommandHandler that marks an invoice as EXPIRED and publishes an InvoiceExpired event. Should be idempotent (no error if already expired).","1. ExpireInvoiceCommand record with commandId and invoiceId fields. 2. ExpireInvoiceCommandHandler.handle() loads invoice, checks if expirable (CREATED or PENDING and past expiresAt). 3. Marks invoice as EXPIRED via domain method. 4. Persists InvoiceExpired event to outbox. 5. Publishes InvoiceExpired via EventPublisher. 6. Idempotent: if invoice already EXPIRED or SUCCEEDED, handler returns silently. 7. Unit tests for all state transitions.","P1-002;P1-005;P1-006;P1-007",todo,3
P4-002,Implement ExpirationScheduler,Phase 4,"Create a scheduled component that runs every 60 seconds, queries for invoices past their expiration time that are still in CREATED or PENDING status, and dispatches an ExpireInvoiceCommand for each.","1. ExpirationScheduler runs @Scheduled(fixedDelay = 60000). 2. Queries: SELECT id FROM invoices WHERE status IN ('CREATED', 'PENDING') AND expires_at < NOW(). 3. Dispatches ExpireInvoiceCommand for each result. 4. Batch size configurable (default 100 per run). 5. Handles command failures gracefully (logs and continues to next invoice). 6. Integration test: create expired invoice, wait for scheduler, verify status is EXPIRED.",P4-001,todo,3
P4-003,Remove check-on-read expiration logic,Phase 4,"Remove the expiration-on-read logic from GetInvoiceUseCase and GetPayPageDataUseCase (or their query service replacements). Invoices are now expired proactively by the scheduler.","1. GetInvoiceUseCase/GetInvoiceQueryService no longer calls markAsExpired() or checks isExpired(). 2. GetPayPageDataUseCase/GetPayPageQueryService no longer calls markAsExpired() or checks isExpired(). 3. Query endpoints return current status from database as-is. 4. isPayable check on pay page still works (checks status and expiresAt client-side or via a computed field). 5. All existing tests updated. 6. No behavioral difference for users (scheduler runs frequently enough).","P4-002",todo,3
P5-001,Create invoice_read_model table and JPA entity,Phase 5,"Create the invoice_read_model denormalized table with all fields needed for query responses: invoice fields plus last payment attempt info. Create InvoiceReadModelEntity and JpaInvoiceReadModelRepository.","1. invoice_read_model table with columns: invoice_id (PK), merchant_id, amount, currency, description, status, expires_at, created_at, updated_at, last_attempt_id, last_attempt_status, payment_provider, pay_url. 2. InvoiceReadModelEntity JPA entity with proper column mappings. 3. JpaInvoiceReadModelRepository extends JpaRepository. 4. InvoiceReadModelRepository port interface defined. 5. Table created by Hibernate DDL auto-update.",P2-007,todo,3
P5-002,Implement InvoiceProjectionUpdater consumer,Phase 5,"Create a Redis stream consumer that listens to invoice and payment event streams and updates the invoice_read_model table. Handles InvoiceCreated, InvoiceMarkedPending, InvoicePaymentSucceeded, InvoicePaymentFailed, InvoiceExpired events.","1. InvoiceProjectionUpdater listens to payme:events:invoice stream. 2. On InvoiceCreated: inserts new row in invoice_read_model. 3. On InvoiceMarkedPending: updates status to PENDING and sets last_attempt_id. 4. On InvoicePaymentSucceeded: updates status to SUCCEEDED. 5. On InvoicePaymentFailed: updates status to FAILED. 6. On InvoiceExpired: updates status to EXPIRED. 7. Idempotent: replaying same event does not corrupt data. 8. Integration test: publish events, verify read model updated correctly.",P5-001,todo,5
P5-003,Create query services reading from read model,Phase 5,"Create GetInvoiceQueryService and GetPayPageQueryService that read from invoice_read_model instead of the invoices write table. These replace the read path of GetInvoiceUseCase and GetPayPageDataUseCase.","1. GetInvoiceQueryService reads from InvoiceReadModelRepository. 2. GetPayPageQueryService reads from InvoiceReadModelRepository and computes isPayable and timeRemaining. 3. API response format identical to current responses. 4. Feature flag (payme.query.use-read-model=true/false) to toggle between read model and write model. 5. Default to write model (false) for safe rollout. 6. Integration test: verify query returns same data from both paths.","P5-002",todo,5
P5-004,Implement projection rebuild command,Phase 5,"Create an admin endpoint or CLI command that replays all events from the domain_events table to rebuild the invoice_read_model from scratch. Used for recovery or schema changes.","1. POST /api/admin/projections/rebuild triggers full rebuild. 2. Truncates invoice_read_model table. 3. Reads all events from domain_events ordered by occurred_at. 4. Replays each event through InvoiceProjectionUpdater logic. 5. Returns count of events replayed and time taken. 6. Can run while application is serving traffic (eventually consistent). 7. Secured admin endpoint. 8. Integration test: create data, truncate read model, rebuild, verify data restored.","P5-002",todo,5
P5-005,Switch query endpoints to read model,Phase 5,"Update InvoiceController GET and PayController GET endpoints to use query services backed by the read model. Enable the feature flag. Verify all read paths work correctly.","1. GET /api/invoices/{id} served from GetInvoiceQueryService (read model). 2. GET /pay/{id} (JSON) served from GetPayPageQueryService (read model). 3. Feature flag payme.query.use-read-model set to true. 4. All API response formats unchanged. 5. Latency same or better than write model queries. 6. End-to-end test: create invoice, verify query returns data from read model. 7. Fallback: setting flag to false reverts to write model queries.","P5-003;P5-004",todo,3
P5-006,Phase 5 consistency testing,Phase 5,"Verify eventual consistency between write model and read model under various scenarios: rapid updates, concurrent events, projection lag, and rebuild correctness.","1. Rapid status changes: invoice goes CREATED -> PENDING -> SUCCEEDED in quick succession, read model reflects final state. 2. Concurrent events: two webhooks for different invoices processed simultaneously, both projections correct. 3. Projection lag: when consumer is slow, queries return stale-but-valid data (no errors). 4. Rebuild: after full rebuild, read model matches write model for all invoices. 5. No data loss: every write-model invoice has a corresponding read-model entry.","P5-002;P5-005",todo,5
